IZOLY Rengar I5-750 8gb 256gb Ssd Gt740 4gb Masaüstü Oyun Bilgisayarý ST998599 ,3999,4.5,500,16,Intel Core i7,141,Free Dos,Ýzoly,IZOLY
Gamers Arena Sangal Stealth Amd Ryzen 5 5600 16gb Ddr4 512gb Ssd 8gb Rtx3060tý Freedos Gamýng Pc PRA-7872119-2495 ,18749,4.5,500,16,Intel Core i7,141,Free Dos,Gamers Arena,Gamers Arena
"ASUS X515ea-bq967w-08pypy I3-1115g4 8gb Ram 128gb Ssd Uhd Graphics 15.6"" Win 11 Home P1110001014 ",7699,5.0,500,16,Intel Core i7,141,Free Dos,AYBÝLÝÞÝM,ASUS
"ACER Aspire A315-58g Intel Core I5 1135g7 8gb 512gb Ssd Mx350 15.6"" Fhd Taþýnabilir Bilgisayar Nx.a HBCV00000F1QEF ",10311,4.4,500,16,Intel Core i7,141,Free Dos,mervan bilisim,ACER
"Dell Vostro 3510 N8803vn3510u I5-1135g7 8gb 256gb Ssd 15.6"" Full Hd Ubuntu Notebook UNUN0DLL0128 ",10799,5.0,500,16,Intel Core i7,141,Free Dos,Elmacýk,Dell
"DMC N181x (PUBGGTA 5) Ryzen 5 550016gb256gb Ssd 1tb Hddrx550 23.8"" Masaüstü Oyuncu Bilgisayarý 0071 ",12499,2.0,256,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
DMC 24x (gta 5) I7-377016gb Ram256gb Ssd+500gb Hdd4gb Gt730masaüstü Oyun Bilgisayarý 0221 ,6359,4.7,256,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
ASUS Tuf Gaming A15 Fa507rm-hn095 Ryzen 7 6800h 16gb Ram 512gb Ssd 6gb Rtx3060 15.6 Inç Fhd 144hz FA507RM-HN095 ,28449,4.8,256,16,Intel Core i7,141,Free Dos,websinial,ASUS
Zeiron Game X50 I5-3470 8gb 256gb Ssd Gt730 4gb 128bit Oyuncu Masaüstü Bilgisayar ZRN-GHT50 ,4649,4.7,256,16,Intel Core i7,141,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
"Zeiron Kind X60 I5-3470 16gb 128gb Ssd+500gb Hdd Gt730 18.5"" Oyun Bilgisayarý ZRN-KDX60 ",6899,4.6,500,16,Intel Core i7,141,Free Dos,CÝTY BÝLÝÞÝM,Zeiron
"ASUS X415ma-ek385w/cel N4020/4gb Ram/128gb Ssd/14""/wýn11 Convertible Laptop Gri PRA-6763695-0431 ",5999,4.1,500,16,Intel Core i7,141,Free Dos,BY-PRO,ASUS
Casper Excalibur G870.1265-bv60a-b Intel Core I7-12650h 16gb Ram 500gb Ssd 6 Gb Rtx 3060 Windows 11 G870.1265-BV60A-B ,27499,3.6,500,16,Intel Core i7,141,Free Dos,EXCALIBUR,Casper
DMC Nx9 (GTA 5) I5-347016gb Ram256gb Ssd 500gb Hdd4gb Gt73024masaüstü Oyuncu Bilgisayarý 0284 ,8399,4.8,500,16,Intel Core i7,141,Free Dos,DMCBÝLGÝSAYAR,DMC
"LENOVO Ideapad Gaming 3 82k200k6tx Ryzen5-5600h 8gb 512gb Ssd Rtx3050 4gb 15.6"" Freedos 195890624716 ",22999,4.6,256,16,Intel Core i7,141,Free Dos,Pliples,LENOVO
teknogamex Gamer X90 I5 3470 3.6 Ghz 16 Gb Ram 4 Gb Gt730 Ek 240 Gb Ssd Oyuncu Bilgisayar 1010 ,4299,4.0,256,16,Intel Core i7,141,Free Dos,Teknogamex,teknogamex
"Monster Huma H4 V5.1.4 Intel Core I5-1235u 8gb Ram 512gb Ssd Freedos 141"" Fhd Rose Gold ",12399,4.9,256,8,Intel Core i7,141,Free Dos,Monster Notebook,Monster
